Date,Zone Enter Time,Zone Exit Time,Time (Mins),Time (Hrs),Distance (Home),Zone,Device
2024-10-15,2024-10-15 15:58:55,2024-10-15 16:13:55,15,0.25,0.04,home,alex_iphone
2024-10-15,2024-10-15 17:43:45,2024-10-15 17:58:45,15,0.25,5.48,home,alex_iphone
2024-10-15,2024-10-15 18:24:50,2024-10-15 18:39:50,15,0.25,0.03,home,alex_iphone
2024-10-16,2024-10-16 08:28:30,2024-10-16 08:43:30,15,0.25,0.04,home,alex_iphone
2024-10-16,2024-10-16 08:45:35,2024-10-16 08:49:55,4,0.07,0.04,home,mike_iphone
2024-10-16,2024-10-16 10:16:35,2024-10-16 10:31:35,15,0.25,1.41,home,alex_iphone
2024-10-16,2024-10-16 14:02:50,2024-10-16 14:23:05,20,0.34,0.04,home,mike_iphone
2024-10-16,2024-10-16 15:56:05,2024-10-16 16:00:05,4,0.07,0.29,home,mike_iphone
2024-10-16,2024-10-16 16:25:30,2024-10-16 16:30:15,5,0.08,0.21,home,mike_iphone
2024-10-16,2024-10-16 16:25:40,2024-10-16 16:30:45,5,0.08,0.76,home,alex_iphone
2024-10-16,2024-10-16 18:24:20,2024-10-16 18:39:25,15,0.25,0.04,home,alex_iphone
2024-10-16,2024-10-16 19:07:40,2024-10-16 19:23:00,15,0.26,0.11,home,alex_iphone
2024-10-16,2024-10-16 19:45:25,2024-10-16 20:01:00,16,0.26,0.04,home,alex_iphone
2024-10-17,2024-10-17 09:03:20,2024-10-17 09:18:40,15,0.26,0.04,home,alex_iphone
2024-10-17,2024-10-17 12:10:00,2024-10-17 12:25:20,15,0.26,2.28,home,alex_iphone
2024-10-17,2024-10-17 14:12:05,2024-10-17 14:27:05,15,0.25,0.04,home,alex_iphone
2024-10-17,2024-10-17 17:20:40,2024-10-17 17:35:40,15,0.25,5.48,home,alex_iphone
2024-10-17,2024-10-17 17:56:05,2024-10-17 18:11:25,15,0.26,0.04,home,alex_iphone
2024-10-18,2024-10-18 14:53:45,2024-10-18 15:09:05,15,0.26,0.02,home,alex_iphone
2024-10-18,2024-10-18 15:12:25,2024-10-18 15:27:45,15,0.26,0.01,home,alex_iphone
2024-10-19,2024-10-19 20:05:10,2024-10-19 20:20:10,15,0.25,0.02,home,alex_iphone
2024-10-19,2024-10-19 20:49:55,2024-10-19 21:05:00,15,0.25,0.02,home,alex_iphone
2024-10-20,2024-10-20 15:16:20,2024-10-20 15:31:20,15,0.25,0.03,home,alex_iphone
2024-10-20,2024-10-20 16:36:15,2024-10-20 17:01:55,26,0.43,0.03,home,mike_iphone
2024-10-20,2024-10-20 16:26:55,2024-10-20 17:32:10,65,1.09,0.03,home,alex_iphone
2024-10-20,2024-10-20 21:37:55,2024-10-20 21:48:55,11,0.18,0.03,home,mike_iphone
2024-10-22,2024-10-22 08:46:50,2024-10-22 09:04:35,18,0.30,0.03,home,mike_iphone
2024-10-22,2024-10-22 17:42:40,2024-10-22 17:57:40,15,0.25,5.53,home,alex_iphone
2024-10-23,2024-10-23 08:33:45,2024-10-23 10:36:05,122,2.04,0.03,home,mike_iphone
2024-10-23,2024-10-23 19:07:15,2024-10-23 19:12:50,6,0.09,0.03,home,mike_iphone
2024-10-24,2024-10-24 08:40:25,2024-10-24 10:09:15,89,1.48,0.03,home,mike_iphone
2024-10-25,2024-10-25 08:21:00,2024-10-25 09:08:35,48,0.79,0.03,home,mike_iphone
2024-10-26,2024-10-26 11:20:25,2024-10-26 11:25:35,5,0.09,0.03,home,mike_iphone
2024-10-26,2024-10-26 13:45:00,2024-10-26 15:13:45,89,1.48,0.03,home,mike_iphone
2024-10-28,2024-10-28 08:30:10,2024-10-28 08:34:10,4,0.07,0.03,home,mike_iphone
2024-10-29,2024-10-29 08:35:05,2024-10-29 08:40:20,5,0.09,0.04,home,mike_iphone
2024-10-30,2024-10-30 08:33:00,2024-10-30 08:47:15,14,0.24,0.03,home,mike_iphone
2024-10-31,2024-10-31 08:38:50,2024-10-31 08:44:30,6,0.09,0.04,home,mike_iphone
2024-10-31,2024-10-31 17:37:15,2024-10-31 17:49:30,12,0.20,0.03,home,mike_iphone
2024-10-31,2024-10-31 18:56:30,2024-10-31 19:06:10,10,0.16,0.03,home,mike_iphone
2024-11-01,2024-11-01 10:00:05,2024-11-01 10:04:05,4,0.07,0.03,home,mike_iphone
2024-11-02,2024-11-02 11:22:40,2024-11-02 11:40:20,18,0.29,0.03,home,mike_iphone
2024-11-02,2024-11-02 20:35:10,2024-11-02 20:39:35,4,0.07,0.03,home,mike_iphone
2024-11-04,2024-11-04 08:21:25,2024-11-04 08:31:10,10,0.16,0.03,home,mike_iphone
2024-11-04,2024-11-04 18:12:05,2024-11-04 18:42:05,30,0.50,0.03,home,alex_iphone
2024-11-04,2024-11-04 18:12:05,2024-11-04 18:42:05,30,0.50,0.03,home,alex_iphone
